idade;faixa_idade;genero;cor/raca/etnia;pcd;estado_onde_mora;uf_onde_mora;nivel_ensino;area_formacao;situacao_atual_trabalho;setor;gestor;cargo_gestor;cargo_atual;nivel;faixa_salarial;experiencia_dados;participou_entrevista;forma_de_trabalho#0;linguagem_mais_utiliza;linguagem_mais_gosta;referencia
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Outra Opção;FALSE;;Analista de Negócios/Business Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
34;30-34;Feminino;Parda;Não;Distrito Federal (DF);DF;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;TRUE;Supervisor/Coordenador;;;de R$ 16.001/mês a R$ 20.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
33;30-34;Masculino;Prefiro não informar;Não;Ceará (CE);CE;Graduação/Bacharelado;Química / Física;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Analista de Dados/Data Analyst;Sênior;de R$ 4.001/mês a R$ 6.000/mês;de 4 a 6 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Internet/Ecommerce;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
34;30-34;Masculino;Preta;Não;Minas Gerais (MG);MG;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;FALSE;;Analista de BI/BI Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;Sim, fui aprovado e mudei de emprego;Modelo híbrido com dias fixos de trabalho presencial;;;2022
31;30-34;Masculino;Branca;Não;Paraná (PR);PR;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Varejo;FALSE;;Analista de Negócios/Business Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo 100% presencial;;;2022
30;30-34;Feminino;Parda;Não;São Paulo (SP);SP;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Área da Saúde;FALSE;;Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
39;35-39;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Área da Saúde;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
26;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ;Mestrado;Ciências Sociais;Somente Estudante (pós-graduação);;;;;;;;;;;;2022
39;35-39;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Setor Alimentício;TRUE;Gerente/Head;;;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
